publication_date,Post_Text,Impressions,Engagements,Reactions,Shares
4/21/2021,"Register now for the Technology-Enabled Disruption conference on May 21. This conference is hosted by the Federal Reserve Bank of Dallas, Federal Reserve Bank of Atlanta, and the Federal Reserve Bank of Richmond and is free and open to the public. #techdisrupts21 https://bit.ly/2RQmecv",419,10,6,1
4/21/2021,"#CDFI leaders, it is your last chance to make your voice heard through the Federal Reserveâ€™s 2021 CDFI Survey. Help the Fed better understand and meet the critical needs of CDFIs. Be sure to submit your response by May 14. https://bit.ly/39RbEYQ",376,15,10,1
4/20/2021,Is the coronavirus finally loosening its grip on the regional economy? This Economy Matters article discusses the latest Beige Book report on economic conditions in the region. https://bit.ly/2PXlwcZ #atlfedrein,383,11,7,2
4/19/2021,"Firmsâ€™ inflation expectations for the coming year are relatively unchanged from last month at 2.5 percent, and firmsâ€™ sales levels compared to ""normal times"" improved significantly, according to the Atlanta Fedâ€™s latest Business Inflation Expectations survey. https://bit.ly/3e50xNl",495,10,4,0
4/19/2021,See Federal Reserve Board Governor Bowman's message in the latest Community Banking Connections about how community banks can succeed. https://bit.ly/3dYag82,671,22,10,0
4/18/2021,"How much would you pay to own a digital file representing a piece of art? Some nonfungible tokens, or NFTs, have been fetching eye-popping sums. Read Take On Payments to learn about the hype and the pitfalls. https://bit.ly/3uLgMFV",750,32,10,0
4/17/2021,"Do you lead a #CDFI? Take the Fedâ€™s 2021 CDFI survey! 

Share your story to help policymakers understand how your organization and community are faring and how policies and other initiatives may be able to help. https://bit.ly/39RbEYQ",398,9,6,1
4/15/2021,What impact have a reopening economy and a fresh round of stimulus had on firmsâ€™ expectations? A Policy Hub: Macroblog post consults new survey data to look at the near-term outlook. https://bit.ly/3mtILXW,418,20,9,2
4/14/2021,"Last year, the CARES Act expanded the unemployment insurance (UI) program to address system-wide shortcomings, but these new measures revealed long-term challenges in the UI system. Workforce Currents contextualizes these challenges and explores potential solutions. https://bit.ly/3wDx5WY",308,15,12,1
4/14/2021,ðŸ†• Excited to announce the signing of a memorandum of understanding with The Greater Fort Lauderdale Alliance to expand economic mobility in areas within Broward County. Learn more: https://bit.ly/2Q1pKQF #EveryonesEconomy,348,19,7,2
4/14/2021,null,2012,93,43,0
4/13/2021,"ðŸ“¢ We just updated our #MAPD tool.

âœ¨ New features: race and income information and updated data from December 2020.

ðŸ“Š Insights: areas with higher shares of minorities have seen elevated rates of mortgage forbearance and delinquency during the pandemic. https://bit.ly/3dVAec9",561,29,9,3
4/13/2021,Is today your rainy day? This educator webinar will share free classroom-ready resources and focus on preparing for financial emergencies and helping to prevent those rainy days. https://bit.ly/3sdpN8Q,305,7,5,1
4/12/2021,It's Money Smart Week! ðŸ’° This week-long free virtual campaign aims to help people better manage their personal finances with a focus on those hardest hit by the COVID-19 pandemic. Learn more: https://bit.ly/3ddhTIu,654,27,14,1
4/12/2021,"The Atlanta Fed occupies a crucial role in the nationâ€™s payments system, and hereâ€™s an opportunity to play an important role in it! Weâ€™re looking for a performance architect to work in our Retail Payments Office (RPO). 

The right person for this position will assist the RPO in planning, developing, executing, and analyzing application performance and tests associated with the automated clearinghouse and checks. The performance architect will assist with performance test life-cycle activities associated with complex, large-scale integration projects. Youâ€™ll work in an agile environment, and youâ€™ll collaborate with a team, so strong interpersonal skills are a must! If you have progressive information technology experience directly related to enterprise software development and architecture/engineering, with at least two years of specific expertise in performance testing, letâ€™s talk! Experience with Shell Scripting, AIX/UNIX/Linux, SQL, and software editing tools is especially important. (And having information security certification is a plus.) 

Apply at https://bit.ly/32SdpyS. Refer to job number 267748.",479,16,5,0
4/12/2021,"In the first-quarter 2021 edition of Economy Mattersâ€™ â€œViewPoint,â€ Mike Johnson of the Atlanta Fedâ€™s Supervision, Regulation, and Credit Division discusses supervisory updates and regional banking conditions. https://bit.ly/3dJ4Z3W",348,6,5,0
4/11/2021,How might bank supervision interfere with the implementation of monetary policy? This Policy Hub article examines three recent cases of such interference and discusses possible changes to supervision. https://bit.ly/2P7Orup,450,19,5,0
4/11/2021,April is Financial Literacy Month. Calculate how much income you will need to provide for a financially stable retirement with these #financialtips: https://bit.ly/3cKuHG9,478,20,11,0
4/10/2021,"The pandemic hit office markets hard and has raised many questions about the future of office space. Using the Atlanta Fed CREMI tool, this Economy Matters article examines recent trends and what they could mean down the road.  https://bit.ly/3dphH7U",679,25,10,0
4/9/2021,"The latest  CFO Survey results show that CFOs are increasingly optimistic about their own firms, with average optimism at 73.2 on a scale of 0 to 100. See all the results from the survey now: http://bit.ly/TheCFOsurvey.  

#TheCFOsurvey is a partnership between the Federal Reserve Bank of Richmond, Federal Reserve Bank of Atlanta, and Duke University - The Fuqua School of Business to better understand the economic outlook of business decision makers.",990,35,16,1
4/9/2021,#atlfedREIN hosted the Energy Advisory Council meeting last week.,404,14,8,2
4/9/2021,"Racism and the Economy: Focus on the Economics Profession is the next installment of our virtual series and will focus on how racism affects the people and practice of economics. 

Leaders from the public, nonprofit, and academic sectors will discuss the factors that contribute to the underrepresentation of people of color in economics as well as strategies to increase inclusion at every level, from recruitment and hiring to mentoring and publishing.

The event, hosted by all 12 regional Reserve Banks of the Federal Reserve System, is on April 13 at 12 p.m. ET. 

For full event information and to register, visit: https://bit.ly/3dfbTOc",1001,49,25,10
4/8/2021,"As the number of digital payments grows, so does online criminal activity. Read Take On Payments to learn about a new Fed white paper offering knowledge about new industry specifications and protocols designed to battle online fraud. https://bit.ly/3uoc1ll",376,8,6,1
4/8/2021,"What do community development financial institutions (CDFIs) need in 2021? The Federal Reserve 2021 CDFI Survey is live and we want to hear from #CDFI leaders.

Community development financial institutions are crucial for getting funds into communities underserved by traditional banks. This year’s survey focuses on the capacity of CDFIs to support communities as the economy recovers from pandemic shocks. https://bit.ly/3uJO6gH",571,25,13,3
4/7/2021,"After a tumultuous year of pandemic retrenchment, regional business contacts feel they might be seeing the light at the end of the tunnel. This Economy Matters article summarizes recent conversations to learn more about what business leaders are seeing. https://bit.ly/3cSRSxR #ATLFedREIN",591,27,10,4
4/5/2021,"The pandemic has challenged #SmallBiz owners immensely, and #CDFIs and minority depository institutions have put in the work to meet their extraordinary needs. 

Join #FedCommunities on Thursday, April 8, at 3 p.m. (ET) for the next Connecting Communities webinar, A Year of Crisis, and Now What? Where Our Main Streets Go from Here. This live panel discussion will include minority small-business owners and community lenders who will talk about their experiences during the pandemic. Register now: http://bit.ly/next4mainst",621,24,14,4
4/4/2021,"SNAP continues to pop! The supplemental nutrition assistance programâ€™s online ordering initiative has, throughout the pandemic, continued to expand and is now available in 47 states. Read Take On Payments to learn more. #EveryonesEconomy  https://bit.ly/3mawreT",551,12,7,0
4/3/2021,"Examining firmsâ€™ inflation perceptions, expectations, and uncertainty, the authors of this working paper find that firmsâ€™ expectations for the nominal side of the economy have little in common with householdsâ€™ expectations, moving instead in tandem with inflation expectations of professional forecasters and market participants. https://bit.ly/3u8N5OJ",365,7,5,0
4/3/2021,"Low interest rates have spurred home sales, and low inventories of homes for sale have pushed prices up. This Economy Matters article discusses the Home Ownership Affordability Monitorâ€™s newest findings. https://bit.ly/2PjaSwE",611,25,12,0
4/2/2021,"Learn how two state public-private partnerships are working to mitigate benefits cliffs from Alex Ruder and Julie Kornegay at the 2021 Alabama Interstate Development Convening on April 5, 2021. 

Register: https://bit.ly/3ugYFY5

#EveryonesEconomy",572,23,11,2
4/2/2021,"Racism and the Economy is a virtual series hosted by all 12 regional Reserve Banks of the U.S. Federal Reserve System. The series brings together community, business, and academic leaders to examine the economic impact of racism and advance bold ideas and concrete actions to achieve an economy that makes opportunity available to everyone. 

The fifth installment of the series will focus on how racism affects the people and practice of economics and takes place April 13, 2021, at 12 p.m. ET. 
For full event information and to register, visit: https://bit.ly/3dfbTOc",788,35,17,2
4/2/2021,#atlfedREIN hosted the Travel & Tourism Advisory Council meeting last week out of the Miami Branch. https://bit.ly/3mdaqMu,547,22,12,4
4/1/2021,"Last year, the nation and the Fed dealt with several interrelated challenges: a global pandemic, a steep economic downturn, and racial turmoil. In our 2020 annual report, Atlanta Fed president Raphael Bostic reflects on the year gone by. #EveryonesEconomy https://bit.ly/3rGsmjw",1862,101,56,10
4/1/2021,"Before members of the Federal Open Market Committee convene to discuss and vote on the course of monetary policy, theyâ€™ve already done an enormous amount of preparation. This Economy Matters article goes inside the advance work, and the aftermath, of a policymaking meeting. https://bit.ly/31gFrFy",486,19,10,1
3/30/2021,"How has the pandemic affected wage growth, and do the changes differ from previous economic upheavals? A Policy Hub: Macroblog post consults recent data to see how worker pay has fared in the time of COVID. https://bit.ly/3fdWAIg",685,18,14,1
3/29/2021,"The Atlanta Fed is looking for someone has experience as a full-stack Java applications developer. The right person for this position will collaborate to design and implement solutions and architectural design patterns requiring complex technologies across multiple platforms. Youâ€™ll work in an agile environment, and youâ€™ll collaborate with a team, so strong interpersonal skills are a must! If you have experience in user interface design and development using Java, and if you have experience with Websphere, Oracle, and CI/CD, letâ€™s talk! Having payments or ACH experience is a plus. Apply at https://bit.ly/32SdpyS. Refer to job number 267669.",799,30,14,2
3/28/2021,Workplace practitioners cite a need for the pandemic recovery to result in policies that prioritize goals and investment to create a labor market that can withstand future recessions. Review the most recent Ask Us Anything webinar to learn more. https://bit.ly/3d2YAAn #EveryonesEconomy,745,26,14,1
3/28/2021,"Weâ€™re excited to announce the agenda and speakers for our 2021 Financial Markets Conference, â€œFostering a Resilient Economy and Financial System: The Role of Central Banks.â€https://bit.ly/38WgQKD #FedFMC",1265,72,31,3
3/27/2021,An increasing number of firms anticipate higher inflation in the coming year. A new Policy Hub: Macroblog post parses recent survey data to learn more about factors influencing their expectations. https://bit.ly/3d5upIU,545,21,7,1
3/27/2021,null,1040,30,14,0
3/25/2021,"Women at one time couldn't open a bank account, obtain a credit card, or get a mortgage or business loan in their own names. Take On Payments looks at how the role of women in the world of finance and payments has evolved. https://bit.ly/3sgKrpM #womenshistorymonth",767,37,20,1
3/25/2021,President Raphael Bostic of the Atlanta Fed speaks today at noon to the Economic Club of New York on inflation and employment and the critical need for racial equity in the economy. https://bit.ly/3vVPXQK,1026,50,28,1
3/24/2021,"The overwhelmingly universal impact of this pandemic is striking, but perhaps more troubling is the way in which it has exacerbated existing inequities in health outcomes. Our #AmericanVoicesProject report recounts indirect health consequences of COVID-19. https://lnkd.in/eyGKxuK",564,10,9,1
3/22/2021,"The Atlanta Fed is proud of its diverse workforce, but achieving diversity doesnâ€™t happen on its own. To further our efforts, weâ€™re looking for a Diversity and Inclusion/Equal Employment Opportunity (EEO) consultant. This person will help connect diversity, equity, and inclusion concepts and EEO data and analytics with business initiatives and the Bank's strategic goals. Further, this consultant will manage, produce, and present the related information flow among business lines to achieve desired outcomes. The ideal candidate has Tableau and Power BI experience. Apply at https://bit.ly/2Z2waAZ. Refer to job number 267385.",968,51,27,5
3/19/2021,null,801,15,6,0
3/19/2021,"Recently, the Atlanta Fed Community and Economic Development team presented findings from the Federal Reserve Small Business Credit Survey: 2021 Report on Employer Firms, particularly the impact of COVID-19 on these businesses. Check out the webinar materials. https://bit.ly/38qArSN #EveryonesEconomy",727,28,15,0
3/18/2021,"Small businesses of color are important contributors to the national economy. Join the Federal Reserve Bank of Atlanta and the Federal Reserve Bank of Kansas City on Thursday, March 25, at 11 a.m. (ET) for a discussion on the findings from their collaborative Small Businesses of Color Recovery Guide. Hear the authors from the Atlanta and Kansas City Feds discuss how to help support these firmsâ€™ economic recovery. https://bit.ly/2PYNjJH 

#EveryonesEconomy #InclusiveandResilientRecovery",625,20,12,3
3/14/2021,"Firmsâ€™ inflation expectations for the coming year increased significantly, to 2.4 percent. Firmsâ€™ sales levels and profit margins compared to ""normal times"" decreased over the month but remain near average levels, according to the Atlanta Fedâ€™s latest Business Inflation Expectations survey. https://bit.ly/2w6RV6j",706,24,11,0
3/12/2021,â€œIâ€™ll pay you on Tuesday for a hamburger today.â€ Wimpy would be happy to know that the buy-now-pay-later method has teamed up with ecommerce. Read Take On Payments to learn more. https://bit.ly/30opSvf,579,15,6,0
3/10/2021,"ICYMI, Randal K. Quarles, Federal Reserve Board governor and vice chair for supervision, gave the keynote speech at our 2021 Banking Outlook Conference last week, discussing the role of stress testing in bank supervision. https://bit.ly/3quLBfv",824,31,14,1
3/9/2021,"The pandemic hammered the job market historically hard, but employers have begun hiring again as the economy continues to revive. This Economy Matters article discusses the latest Beige Book report on economic conditions in the region. https://bit.ly/3kPWHKT

#ATLFedREIN",654,36,17,9
3/9/2021,Deciding which financial institution (bank or credit union) and which account are right for you can be overwhelming. Get the information you need to take a step toward financial stability. https://bit.ly/3c3QpmR,570,21,11,0
3/8/2021,"A challenged world is an alert world. And from challenge comes change. Today we #ChooseToChallenge conceptions about women in economics. Join us as we raise our hands to support and celebrate the achievements of women around the world, starting with the Sixth District.",1673,126,52,2
3/5/2021,"In a recent webinar, speakers from organizations that support small businesses and entrepreneurship discussed the challenges these businesses are facing during the pandemic. Atlanta Fed president Raphael Bostic moderated the discussion. Find the webinar materials here. https://bit.ly/3dEXSLr #EveryonesEconomy",616,31,17,4
3/4/2021,"Why is modernization of the Community Reinvestment Act (CRA) important? Hear from Atlanta Fed president Raphael Bostic and Federal Reserve Board governor Lael Brainard why the CRA is more important than ever. https://bit.ly/3d4NfRY
#EveryonesEconomy",763,29,11,1
3/3/2021,"For many employees, working from home, or WFH, has become the new normal. A new Policy Hub: Macroblog post looks at recent survey data about how employers expect the postpandemic workweek to look. https://bit.ly/2ZNB3gw",889,42,18,0
3/2/2021,Someoneâ€™s health status can determine whether they remain in the workforce. This Economy Matters article looks at recent Atlanta Fed research into the relationship between health and lifetime earnings inequality. https://bit.ly/2MqaIlL #EveryonesEconomy,619,23,14,0
3/2/2021,"During the pandemic, mortgage forbearance became a crucial lifeline for many affected households. A Policy Hub: Macroblog post examines recent forbearance data to learn more about households using the program. #EveryonesEconomy https://bit.ly/3qTKPto",802,28,15,1
3/1/2021,"New year, new fraud. Refund fraud is not new, but the pandemic has taken it to a new level, where it has attracted the attention of the organized criminal element. Read Take On Payments for a discussion of this fraud and the ever-present need for vigilance. https://bit.ly/3dIfW7z",587,18,13,0
2/28/2021,"Measuring inflation has always been complex, and doing it during a pandemic is especially complicated. Economy Matters presents an interview with an Atlanta Fed economist who closely watches the movement of prices in the economy. https://bit.ly/2NZxfpH",901,39,20,1
2/28/2021,"For our final feature, Denise Jefferson, a director at our New Orleans branch, explains what #BlackHistoryMonth means to her.",787,34,21,1
2/27/2021,"Michael Duren, assistant vice president in our Retail Payments Office, explains what #BlackHistoryMonth means to him.",703,25,15,0
2/27/2021,"The Atlanta Fed is an important part of the U.S. payments system, and weâ€™re looking for someone to be a key part of it! The senior vice president and chief information officer of the Atlanta Fedâ€™s Retail Payments Office must have a strong technical background and be able to manage and direct teams based in various locations throughout the United States. This person will direct the check and automated clearinghouse technology operations for a national customer base. Apply at https://bit.ly/2Z2waAZ. Refer to job number 267264.",891,39,16,2
2/26/2021,"How will job seekers take advantage of proposed infrastructure job opportunities? Join us on March 3 for our Ask Us Anything webinar on the Biden administrationâ€™s Build Back Better plan for economic recovery to answer this and other questions. 

Our speakers will discuss how the creation of millions of well-paying jobs will support an equitable recovery with a focus on workers of color, women, and opportunity youth. Bring your thoughts and questions to the 1:30 p.m. (ET) session! Register today: https://bit.ly/3k1rjZg 

#EveryonesEconomy",535,19,8,3
2/25/2021,"As we continue to reflect, our next feature for #BlackHistoryMonth comes from Maria Frazier, AVP of District Operations and Administrative Services.",647,26,16,1
2/24/2021,"The Atlanta Fed welcomes new Community Depository Institutions Advisory Council (CDIAC) members Linda Cencula, Avadian Credit Union; Tyler Clinch, First Community Bank of East Tennessee; and Spence Mullis, Morris Bank. The #atlfedREIN team is thankful for your willingness to serve, and we look forward to learning from your unique perspectives. https://bit.ly/2Twp2co",976,42,18,6
2/24/2021,The Federal Reserveâ€™s next installment in its Racism and the Economy virtual series will focus on the role of racist practices in the housing sector and their pervasive social and economic effects. This Economy Matters article previews the discussion. #EveryonesEconomy https://bit.ly/2M9gmZq,1503,78,36,8
2/23/2021,"The field of workforce development is known for connecting people to opportunity and employers to talent. But it has largely operated from a perceived belief of â€œrace neutrality,â€ which ignores the role that racism plays in limiting access and opportunity for people of color. 

Workforce Currents examines the origins of racism in the field of workforce development and discusses what it will take to create a more equitable and inclusive system. https://bit.ly/37xFwIx

#EveryonesEconomy",983,48,24,5
2/21/2021,"In recent years, Black workers have made solid gains in the U.S. labor market, but COVID-19 threatens to undo some of the progress. This Policy Hub article looks at the pandemicâ€™s uneven impact on workers. #EveryonesEconomy https://bit.ly/2ZqXFmQ",735,26,9,0
2/21/2021,"Join the Atlanta Fed on Thursday, February 25, at 11 a.m. (ET) for a discussion on the findings from the recently released Small Business Credit Survey: 2021 Report on Employer Firms. The Community and Economic Development team of the Atlanta Fed is hosting the event. 

Our experts will discuss the state of small business amid COVID-19 and the pandemicâ€™s impact on the future economy. The presenters will discuss emerging strategies and approaches to support an inclusive recovery.  https://bit.ly/3be6gir #EveryonesEconomy #InclusiveRecovery",629,28,15,4
2/20/2021,Every community deserves the opportunity to thrive. Our economy depends on it. Learn why modernizing the Community Reinvestment Act is more important than ever. https://bit.ly/3d4NfRY #EveryonesEconomy,1064,45,20,0
2/20/2021,"The latest Commercial Real Estate Momentum Index data for the U.S. Census Bureauâ€™s West South Central (WSC) Census Divisionâ€”which includes Arkansas, Louisiana, Oklahoma, and Texasâ€”show that property sectors in the major markets generally had more downward momentum, while sectors in the smaller marketsâ€”particularly the retail sector, where COVID-19 safety measures have had a huge impactâ€”typically had more upward momentum. This Economy Matters article examines the data and looks at trends and conditions in several WSC markets. https://bit.ly/3uaru9t",580,16,10,0
2/19/2021,"Black History Month is a time for reflection. To do that, weâ€™ve asked Black leaders at the Bank what this month means to them and how we as a society can honor, celebrate, and learn from Black Americans of our past. Let's get to work.",1528,67,37,2
2/19/2021,"It doesnâ€™t always happen, but when it does, it can beâ€¦pleasing. Read Take On Payments to learn how the Fedâ€™s payments study data line up nicely with personal experience. https://bit.ly/3dk8cIA",600,23,9,0
2/17/2021,What do new data tell us about U.S. labor force participation in the most unusual year that was 2020? A Policy Hub: Macroblog post looks at the numbers to draw some conclusions. https://bit.ly/2NjAlok #ATLFedResearch,486,20,9,0
2/16/2021,"Anoop Mishra, vice president and regional executive of the Atlanta Fed's Birmingham Branch, provides some perspective from #atlfedREIN on the outlook for 2021. https://bit.ly/2Nu2Q2S",1032,67,22,8
2/15/2021,"What chef or researcher doesn't like to slice and dice? There are many ways you can look at data from the Fed's Payments Study. Read Take On Payments for one more way, and get an update on business credit card use at the same time. https://bit.ly/2MVA4Ip",568,18,8,1
2/15/2021,"The Atlanta Fed insists on the highest level of information security. 

Are you a strategic thinker who has worked on risk assessments for large projects? Weâ€™re hiring a senior information security analyst, and weâ€™re looking for someone who has worked with all levels within an organization, who is diplomatic yet assertive, and who will raise concerns about information security when itâ€™s necessary. The ideal candidate will also have cloud computing experience. 

Come put your special brand of expertise to work at the Atlanta Fed! Apply: https://bit.ly/2Z2waAZ. Refer to job number 266968.",960,34,17,4
2/13/2021,"Firmsâ€™ inflation expectations for the coming year are unchanged from last month at 2.2 percent, and firmsâ€™ sales levels and profit margins compared to ""normal times"" increased over the month but remain near average levels, according to the Atlanta Fedâ€™s latest Business Inflation Expectations survey. https://bit.ly/2w6RV6j",460,8,4,0
2/13/2021,"Itâ€™s been 25 years since the Community Reinvestment Act underwent major rule revisions. Learn more about the importance of modernizing the CRA and how to share your comments by February 16, 2021. https://bit.ly/3d4NfRY 

#EveryonesEconomy",1130,64,22,4
2/12/2021,"The history of discriminatory policies leaves many Black and Hispanic people less resilient in the face of the economic shock caused by the pandemic. Partners Update examines this historyâ€™s connections to household financial resilience. https://bit.ly/3pcQLMu

#EveryonesEconomy",580,20,14,0
2/11/2021,"Racism and the Economy: Focus on Housing is the next installment of our virtual series and will focus on the impact of structural racism on housing. Leaders from the public, nonprofit, and academic sectors will present policy proposals for dismantling the deep inequities in housing market valuation, mortgage lending, and patterns of housing development. 

The event, hosted by all 12 District Banks of the Federal Reserve System, is on March 1 at 2 p.m. (ET). 

For full event information and to register, visit: https://bit.ly/3tMPM9f

#RacismandtheEconomy",1582,91,35,22
2/9/2021,"Business contacts believe that a return to economic normalcy depends on a successful nationwide vaccination effort. This Economy Matters article by Charles Davidson, Rebekah Durham, and Emily Mitchell summarizes recent conversations to provide a glimpse of what regional business leaders are thinking. #ATLFedREIN https://bit.ly/3cTeIGg",1024,59,20,10
2/9/2021,"Examining consumer preferences for person-to-person payments, the authors of this working paper find about two-thirds of consumers have a first preference for cash. The remaining one-third rank checks first. About 93 percent of consumers rank electronic technologies second. Transaction value, age, and education influence payment choice. https://bit.ly/3aOYb3g",685,14,10,0
2/8/2021,"For small businesses of color, the impact of COVID could be deep and lasting. This Economy Matters article looks at recent research into the tools and new ways of thinking that could help foster recovery. https://bit.ly/2MC023F",511,18,9,1
2/8/2021,"Rising prices and shrinking inventories are among the factors making home ownership less affordable, even as mortgage rates remain historically low. This Economy Matters article discusses the Home Ownership Affordability Monitorâ€™s newest findings. https://bit.ly/2O1dWwh",598,24,13,0
2/7/2021,"Did you miss our webinar on what inclusive recovery means to the Southeast, particularly for communities of color? You can watch the video, see the presentation, or read the transcript, featuring panelists from PolicyLink, Urban Institute, Liberation in a Generation, and Hope Enterprise Corp. https://bit.ly/3jfn7ER
 #EveryonesEconomy",565,20,11,1
2/6/2021,Tax time will be here before you know itâ€”be prepared with these tips and resources to help you save money when you file your taxes this year. https://bit.ly/3j90ceB,432,12,6,1
2/5/2021,Proud to be recognized by Human Rights Campaign as one of the Best Places to Work for LGBTQ Equality. ðŸ³ï¸â€ðŸŒˆ https://bit.ly/3q2GQu0,2206,125,65,2
2/5/2021,"The authors of this working paper assess the prospects of a 2021 increase in failures among small and medium-sized enterprises triggered by policies enacted during the COVID-19 crisis. Policies themselves donâ€™t create a 2021 time bomb for these enterprises, but the contraction of credit to the corporate sector could trigger failures. https://bit.ly/3oyVI21",471,12,3,1
2/4/2021,"Last fall, the Atlanta Fed introduced the Inclusive and Resilient Recovery webinar series. In the initial session, city officials from Birmingham and New Orleans discussed local programs created in response to the COVID-19 recession. View the video or read the transcript and presentation. https://bit.ly/39EwqLB #EveryonesEconomy",643,25,12,2
2/4/2021,"The authors of this working paper find that while labor efficiency and home productivity are crucial in accounting for the differences in the allocation of time over the life cycle between the United States and France, consumption tax and social security are more important regarding allocation of expenditures. https://bit.ly/39Cp8YH",378,7,4,0
2/3/2021,The Atlanta Fed has been investigating changes in consumersâ€™ payments habits during the pandemic. Our Retail Payments Risk Forum decided to see if they could discern some of the same changes among their own habits. Read Take On Payments to learn more. https://bit.ly/2MI8M7S,638,24,12,0
2/3/2021,"As policymakers and service providers continue to enact programs to help small businesses weather the COVID-19 financial crisis, the 12 Federal Reserve Banks issued the Small Business Credit Survey: 2021 Report on Employer Firms, which provides data about small firmsâ€™ performance, financing and credit positions, and expectations for the next 12 months.

The report offers a critical look into the financial and operational challenges shared by small businesses during the pandemic. Among small businesses, 95% reported that the pandemic affected their operations. Even the healthiest firms faced tough decisions amid sustained revenue loss. By shedding light on the channels through which firms sought financial recourse and the types of small business vulnerabilities, the data can inform the design of new loan and grant programs and offer insights into how these programs can help businesses in need.

For a more in-depth look, read the full report: https://bit.ly/2MFbACx",401,9,5,0
2/3/2021,"The American Voices Project examines the effects of the COVID-19 crisis on people across the country. The Federal Reserve Bank of Atlanta, Federal Reserve Bank of Boston, and the Stanford Center on Poverty and Inequality are series cosponsors. Read the first report, which focuses on youth and young adults. https://lnkd.in/dRp6jVA

#EveryonesEconomy",675,28,9,4
2/2/2021,"Online commerce continues its impressive growth rates, but does its growth diminish the value of traditional retail locations? A Macroblog post analyzes the effect of ecommerce warehouses on retail real estate values. https://bit.ly/3cwABL5",532,14,4,2
2/2/2021,null,1167,42,15,0
2/2/2021,"While business applications fell slowly and persistently during the Great Recession, they followed a V-shaped pattern during the COVID-19 recession. Furthermore, the authors of this working paper find, the changing composition of business applications in 2020 suggests a higher surge in new nonemployer businesses relative to new employer businesses. https://bit.ly/36wgCIF",423,10,7,0
1/31/2021,"The Uneven Outcomes in the Labor Market conference (Feb. 1â€“4) will highlight research that examines disparities in employment, labor force participation, income, and wealth across demographic groups. Secure your spot today: https://bit.ly/3pACZUQ",816,43,11,4
1/28/2021,"Using stronger passwords may not have topped your list of New Yearâ€™s resolutions, but thereâ€™s always National Data Privacy Day on January 28 to help you remember to be safe online. Read Take On Payments for a discussion and some tips. https://bit.ly/3sObbyn",515,12,7,2
1/27/2021,"Chris Oakley, vice president and coordinating regional executive at the Jacksonville Branch of the Atlanta Fed, offers insight into the economic recovery from the effects of the pandemic. #atlfedrein https://bit.ly/2YfLyZf",1386,71,27,6
1/25/2021,null,894,36,8,0
1/25/2021,The National Academy of Social Insurance is an organization that helps people better understand the essential role that social insurance plays in the lives of many people. This Economy Matters story looks at the nomination of Atlanta Fed president Raphael Bostic for membership in the group. https://bit.ly/2KDJ3Nc,935,32,18,0
1/22/2021,"Calling all analysts! ðŸ“¢ Weâ€™re recruiting for research analysts with a strong background in economics, mathematics, and statistics. Deadline is January 31, so apply soon!  https://bit.ly/2LJxhBF",1336,89,17,9
1/22/2021,The post office once did more than sell stamps and deliver mailâ€”it also took deposits. Read Take On Payments for a history lesson on the USPS and a discussion of financial inclusion. https://bit.ly/39TP413,762,26,11,0
1/21/2021,"Excited to announce the 2020 recipients of our annual Presidentâ€™s Award for Excellence, our top recognition for employees who demonstrated outstanding achievement and made extraordinary contributions to the success of the Bank. https://bit.ly/39LEE3u",1487,88,27,1
1/19/2021,"The fourth-quarter 2020 edition of Economy Mattersâ€™ â€œViewPoint,â€ from the Atlanta Fedâ€™s Supervision, Regulation, and Credit Division, takes a look at national and southeastern banking conditions, including earnings performance, asset quality, and more. https://bit.ly/3stw4ih",497,7,4,0
1/19/2021,"ICYMI, see Dave Altig, our research director, speak to the Chattanooga Area Chamber of Commerce and area business leaders about economic trends for the year ahead and hear about their exciting new community initiative, Chattanooga Calling, that connects workers with new career and training opportunities. https://bit.ly/3hK2jVi 

#atlfedrein",682,24,12,5
1/18/2021,"As we celebrate the holiday to honor Dr. Martin Luther King Jr., many passages from his oratory resonate, perhaps none more so than the determination that his country would overcome hatred and injustice, that â€œwe will be able to transform the jangling discords of our nation into a beautiful symphony of brotherhood.â€

Like King, we must hold onto hope that a beautiful symphony is to come.

Numerous reasons sustain my hope. Later in his life, King focused increasingly on economic justice and inclusion. That is a quest we continue today in our work to advance economic mobility and resilience. It is in the best interest of our country not only morally but economically. Holding back some people holds back all of us because it saps our economy of potential.

As King wrote in his Letter from the Birmingham Jail, we inhabit â€œan inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly, affects all indirectly.â€

Dr. King was born 92 years ago on January 15, three miles from the Bankâ€™s headquarters. As we mark his birth, we at the Atlanta Fed reflect on the message and life of Dr. Martin Luther King Jr. and the importance of economic mobility and resilience to better our communities.

Raphael Bostic
President & CEO

#EveryonesEconomy",2529,99,61,1
1/17/2021,"In the fourth-quarter 2020 edition of Economy Mattersâ€™ â€œViewPoint,â€ Mike Johnson of the Atlanta Fedâ€™s Supervision, Regulation, and Credit Division discusses supervisory updates and regional banking conditions. https://bit.ly/3ie3Fbk",808,19,8,0
1/17/2021,"The Atlanta Fed is looking for a technology liaison with a special skill set. This person understands technology and can communicate the vision and strategy of our information technology needs. 

The liaison needs to understand the infrastructure of networks, servers, and hardware but doesnâ€™t need to get down in the weeds with them. We want to hire someone who has exposure to information security and can support Java-based applications. Being able to present, train, and build relationships across all business lines is important. 

Apply at https://bit.ly/2Z2waAZ. Refer to job number 266191.",1012,42,15,4
